objectID,title,artist,culture,period,medium,objectDate,department,primaryImageSmall,era_style,summary,themes,quality_flags,raw_quality_flags
435762,Virgin and Child,Dieric Bouts,,,Oil on wood,ca. 1455–60,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-20589-001.jpg,Early Netherlandish,"A tender depiction of the Virgin Mary holding the Christ Child, rendered with meticulous detail and luminous oil glazes.",Madonna and Child;Religious Devotion;Naturalism,,missing:culture;missing:period
437261,The Penitence of Saint Jerome,Joachim Patinir,,,Oil on wood,ca. 1515,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT5549.jpg,Northern Renaissance,"Saint Jerome kneels in a rocky landscape, contemplating mortality with a skull and crucifix.",penitence;memento mori;landscape,,missing:culture;missing:period
439327,Christ Blessing,Gerard David,,,Oil on wood,ca. 1500–1505,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP218061.jpg,Northern Renaissance,"Gerard David's devotional oil painting depicting Christ in a blessing gesture, created around 1500-1505.",Religious devotion;Divine blessing;Spiritual authority,,missing:culture;missing:period
437173,Don Andrés de Andrade y la Cal,Bartolomé Estebán Murillo,,,Oil on canvas,ca. 1665–72,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16333-001.jpg,Spanish Baroque,"Murillo's portrait of Don Andrés de Andrade y la Cal, painted circa 1665–1672, exemplifies Spanish Baroque portraiture with its naturalism and dignity.",portraiture;Spanish nobility;Baroque naturalism,,missing:culture;missing:period
437875,Portrait of a Man,Velázquez,,,Oil on canvas,ca. 1650,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP276131.jpg,Spanish Baroque,"Velázquez's mature portrait from his late period, showcasing masterful realism and psychological depth.",Portraiture;Realism;Psychological Insight,,missing:culture;missing:period
687513,The Lamentation,Luis de Morales,,,Oil on walnut,ca. 1560,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP370255.jpg,"Spanish Renaissance, Mannerism",Morales' devotional oil painting depicts the mourning of Christ with intense emotion and meticulous detail.,Religious Devotion;Mourning;Human Suffering,,missing:culture;missing:period
438821,Ia Orana Maria (Hail Mary),Paul Gauguin,,,Oil on canvas,1891,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT1025.jpg,"Post-Impressionism, Symbolism","Gauguin's Tahitian Madonna blends Christian iconography with Polynesian culture in vibrant, flat colors.",Religious Syncretism;Exoticism;Colonial Encounter,,missing:culture;missing:period
437423,The Immaculate Conception,Guido Reni,,,Oil on canvas,1627,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT1138.jpg,Baroque,A Baroque religious painting by Guido Reni depicting the Virgin Mary's Immaculate Conception.,Religion;Divine Purity;Baroque Art,,missing:culture;missing:period
436301,The Parable of the Mote and the Beam,Domenico Fetti,,,Oil on wood,ca. 1619,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT6682.jpg,Italian Baroque,"Fetti depicts Christ's parable with dramatic lighting and intimate figures, emphasizing moral introspection.",Religious narrative;Moral allegory;Human fallibility,,missing:culture;missing:period
436535,Wheat Field with Cypresses,Vincent van Gogh,,,Oil on canvas,1889,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT1567.jpg,Post-Impressionism,Van Gogh's vibrant oil painting depicts a swirling wheat field and cypress trees under a dynamic sky.,Nature;Emotional Expression;Spirituality,,missing:culture;missing:period
436038,Judith with the Head of Holofernes,Lucas Cranach the Elder,,,Oil on linden,ca. 1530,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP280784.jpg,Northern Renaissance,"Cranach depicts the biblical heroine Judith holding the severed head of Holofernes, rendered with meticulous detail and cool elegance.",Biblical Narrative;Female Power;Virtue and Violence,,missing:culture;missing:period
437457,The Baptism of Christ,Sebastiano Ricci,,,Oil on canvas,ca. 1713–14,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT9354.jpg,Late Baroque,Sebastiano Ricci's vibrant oil painting depicts Christ's baptism with dynamic figures and luminous colors.,Religious narrative;Divine revelation;Spiritual transformation,,missing:culture;missing:period
435851,The Meditation on the Passion,Vittore Carpaccio,,,Oil and tempera on wood,ca. 1490,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP296427.jpg,Early Renaissance,"Carpaccio depicts a contemplative religious scene with oil and tempera on wood, created around 1490.",Religious devotion;Meditation;Passion of Christ,,missing:culture;missing:period
436299,"The Coronation of the Virgin, and Saints",Giovanni di Tano Fei,,,"Tempera on wood, gold ground",1394,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP293271.jpg,Late Gothic,A 1394 tempera painting on wood with gold ground depicting the Virgin Mary's coronation and saints.,Religious;Divine Coronation;Saints,,missing:culture;missing:period
435809,The Harvesters,Pieter Bruegel the Elder,,,Oil on wood,1565,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP119115.jpg,Northern Renaissance,"A detailed oil painting depicting peasants harvesting wheat in a vibrant, expansive landscape during summer.",Rural Life;Labor;Nature;Seasons,,missing:culture;missing:period
436282,The Crucifixion; The Last Judgment,Jan van Eyck,,,"Oil on canvas, transferred from wood",ca. 1436–38,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/LC-33_92ab-Primary_Temp.jpg,Northern Renaissance,"Van Eyck's diptych contrasts Christ's crucifixion with the final judgment, rendered in meticulous oil detail.",Religious Narrative;Salvation and Damnation;Human Mortality,,missing:culture;missing:period
437061,Salvator Mundi,Hans Memling,,,Oil on wood,1480–85,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-19586-001.jpg,Northern Renaissance,"A devotional portrait of Christ as Savior of the World, holding a crystal orb and blessing gesture.",Religious devotion;Salvation;Symbolism,,missing:culture;missing:period
435725,Christ's Descent into Hell,Hieronymus Bosch,,,Oil on wood,,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-1207-001.jpg,Northern Renaissance,"Bosch depicts Christ descending into hell, filled with surreal, nightmarish figures and chaotic torment.",Salvation;Afterlife;Sin and Redemption,missing_date,missing:culture;missing:period;missing:objectDate
438779,A Peasant Family,Antoine Le Nain,,,Oil on copper,ca. 1640–48,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP131218.jpg,French Baroque,A 17th-century French oil painting depicting rural family life with naturalistic detail.,Peasant Life;Family;Rural Existence,,missing:culture;missing:period
436838,The Fortune-Teller,Georges de La Tour,,,Oil on canvas,probably 1630s,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14286-015.jpg,Baroque,"A Baroque painting depicting a young man having his fortune told, highlighting themes of deception and human vulnerability.",Deception;Human vulnerability;Everyday life,,missing:culture;missing:period
435897,Head of Christ (Ecce Homo),Petrus Christus,,,"Oil on parchment, laid down on wood",ca. 1445,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT229079.jpg,Early Netherlandish,Petrus Christus's intimate oil painting depicts Christ's suffering with meticulous detail and emotional depth.,Religious Devotion;Human Suffering;Portraiture,,missing:culture;missing:period
435844,The Musicians,Caravaggio (Michelangelo Merisi),,,Oil on canvas,1597,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-687-001.jpg,Baroque,"Caravaggio's early Baroque painting depicts three musicians in a dramatic, intimate scene with strong chiaroscuro.",Music;Youth;Intimacy,,missing:culture;missing:period
437873,"Philip IV (1605–1665), King of Spain",Velázquez (Diego Rodríguez de Silva y Velázquez),,,Oil on canvas,probably 1624,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP239023.jpg,Baroque,"Velázquez's portrait of Philip IV, showcasing royal authority and masterful Baroque realism.",Monarchy;Portraiture;Power,,missing:culture;missing:period
437202,Christ Bearing the Cross,North Netherlandish (Bruges) Painter,,,Oil on wood,,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-20751-001.jpg,Northern Renaissance,"A Northern Renaissance depiction of Christ carrying the cross, painted in oil on wood by a Bruges artist.",Religious narrative;Suffering;Christian devotion,,missing:culture;missing:period;missing:objectDate
438816,The Forest in Winter at Sunset,Théodore Rousseau,,,Oil on canvas,ca. 1846–67,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-31520-001.jpg,"Barbizon School, Romanticism","A melancholic winter forest scene at dusk, painted with loose brushwork and rich atmospheric effects.",Nature;Seasons;Solitude;Transcendence,,missing:culture;missing:period
437868,"Don Gaspar de Guzmán (1587–1645), Count-Duke of Olivares",Juan Bautista Martínez del Mazo,,,Oil on canvas,ca. 1636 or later,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-011.jpg,Spanish Baroque,"Portrait of Count-Duke Olivares by Mazo, circa 1636, oil on canvas.",aristocracy;portraiture;Spanish monarchy,,missing:culture;missing:period
437216,The Fifteen Mysteries and the Virgin of the Rosary,Netherlandish (Brussels) Painter,,,Oil on wood,ca. 1515–20,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DT5754.jpg,Northern Renaissance,Early 16th-century Brussels oil painting depicting the Virgin Mary with fifteen rosary mysteries.,Religious devotion;Marian iconography;Rosary mysteries,,missing:culture;missing:period
435759,Head of Saint John the Baptist on a Charger,Aelbert Bouts,,,Oil on poplar,ca. 1500,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP345354.jpg,Early Netherlandish,"Aelbert Bouts' oil painting depicts the severed head of John the Baptist on a platter, rendered with meticulous detail.",Religious narrative;Martyrdom;Memento mori,,missing:culture;missing:period
435868,The Card Players,Paul Cézanne,,,Oil on canvas,1890–92,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP231550.jpg,Post-Impressionism,"Cézanne depicts peasants playing cards, emphasizing geometric forms and muted colors to explore structure and stability.",Rural Life;Stillness and Concentration;Formal Experimentation,,missing:culture;missing:period
828241,The Temptation of Saint Mary Magdalen,Johann Liss,,,Oil on canvas,ca. 1626,European Paintings,https://images.metmuseum.org/CRDImages/ep/web-large/DP-19542-001.jpg,Baroque,"Baroque painting depicting Mary Magdalen in spiritual conflict, rich colors and dramatic lighting.",Religious Temptation;Spiritual Struggle;Baroque Drama,,missing:culture;missing:period
