title,dates,location,description,url,audience_takeaway,buzz_summary,similarity_cluster,data_flags,raw_quality_flags
Casa Susanna - The Metropolitan Museum of Art,"Through January 25, 2026",The Met Fifth Avenue,"Photographs and publications from a 1960s cross-dressing community that met in NYC and the Catskills, created by and for its members.",https://www.metmuseum.org/exhibitions/casa-susanna,"Visitors will gain insight into a hidden chapter of LGBTQ+ history, exploring personal photographs and publications that document a supportive cross-dressing community in the 1960s, highlighting themes of identity, acceptance, and resilience.",Rare glimpse into a 1960s cross-dressing community through intimate photos and publications.,"LGBTQ+ history, identity exploration, archival photography, 20th century subcultures",historical_sensitivity;identity_focused;archival_materials,
The Magical City: George Morrison’s New York - The Metropolitan Museum of Art,"Through May 31, 2026",The Met Fifth Avenue,"This exhibition showcases 25 key works by Morrison, inspired by New York, highlighting his Horizon series and role in 1940s–50s Abstract Expressionism.",https://www.metmuseum.org/exhibitions/the-magical-city-george-morrison-s-new-york,"Visitors will discover George Morrison's significant contributions to Abstract Expressionism through his New York-inspired works, gaining insight into his Horizon series and his artistic evolution during the 1940s-50s.","A deep dive into Morrison's New York-inspired Abstract Expressionism, featuring his acclaimed Horizon series.","Modern American art, Abstract Expressionism, city-inspired exhibitions, mid-20th century artists",long_duration;well_known_institution;focused_artist_showcase,
Emily Sargent: Portrait of a Family - The Metropolitan Museum of Art,,The Met Fifth Avenue,"Rediscovered watercolors reveal Emily Sargent’s unique style, shown with works by brother John Singer Sargent and mother Mary, highlighting their creative bond.",https://www.metmuseum.org/exhibitions/emily-sargent-portrait-of-a-family,"Visitors will discover Emily Sargent's overlooked artistic talent and the intimate creative dynamics within the Sargent family, offering a fresh perspective on a famous artistic lineage.",Rediscovered watercolors reveal Emily Sargent's unique style alongside family works.,"Rediscovered female artists, family artistic legacies, 19th-century portraiture",missing_dates,missing:dates
Making It Modern: European Ceramics from the Martin Eidelberg Collection - The Metropolitan Museum of Art,"Through June 14, 2026",The Met Fifth Avenue,This exhibition celebrates Dr. Martin Eidelberg’s gift to The Met of approximately 80 ceramic works dating from the 1880s to 1910s.,https://www.metmuseum.org/exhibitions/making-it-modern-european-ceramics-from-the-martin-eidelberg-collection,"Visitors will gain insight into the evolution of European ceramics during the late 19th and early 20th centuries, highlighting artistic innovation and the significance of the Eidelberg collection.","A showcase of 80 modernist European ceramics from the 1880s-1910s, celebrating a major gift.","European decorative arts, modernist ceramics, museum collection highlights",long-term exhibition;focused collection;gift-based,
Iba Ndiaye: Between Latitude and Longitude - The Metropolitan Museum of Art,"Through May 31, 2026",The Met Fifth Avenue,"This exhibit highlights Senegalese Modernist Iba Ndiaye’s key work, Tabaski III, now part of The Met’s African Art collection.",https://www.metmuseum.org/exhibitions/iba-n-diaye-between-latitude-and-longitude,"Visitors will gain insight into Senegalese Modernism through Iba Ndiaye's significant work, Tabaski III, and its integration into The Met's African Art collection.",Senegalese Modernist Iba Ndiaye's key work Tabaski III at The Met through 2026.,"Modern African art, Senegalese artists, museum acquisitions",single_work_focus;long_duration;acquisition_highlight,
Lorna Simpson: Source Notes - The Metropolitan Museum of Art,,The Met Fifth Avenue,"Lorna Simpson: Source Notes highlights 30+ works from the last decade, exploring race, gender, and identity, including pieces from Venice Biennale 2015.",https://www.metmuseum.org/exhibitions/lorna-simpson-source-notes,"Visitors will gain insight into Lorna Simpson's exploration of race, gender, and identity through a curated selection of her recent works, including notable pieces from the Venice Biennale.","Showcases Simpson's recent decade of work on race, gender, and identity, featuring Venice Biennale pieces.",Contemporary art exhibitions focusing on identity politics and social issues by prominent artists.,missing_dates,missing:dates
Celebrating the Year of the Snake - The Metropolitan Museum of Art,"Through February 1, 2026",The Met Fifth Avenue,"Celebrating the Year of the Snake showcases Chinese art from 3,000 years ago to the 18th century, highlighting the snake’s cultural and symbolic roles.",https://www.metmuseum.org/exhibitions/celebrating-the-year-of-the-snake,Visitors will gain insight into the snake's symbolism in Chinese culture through a curated collection of historical artworks spanning three millennia.,"Ancient Chinese art explores snake symbolism across 3,000 years.","Chinese cultural heritage, animal symbolism, historical artifacts",long_duration;well_known_institution;clear_time_period,
Colorful Korea: The Lea R. Sneider Collection - The Metropolitan Museum of Art,"December 2, 2024–July 20, 2025",The Met Fifth Avenue,"Presenting 100 works from the 5th century to today, highlighting Korean art’s auspicious symbols in paintings, ceramics, textiles, and ritual objects.",https://www.metmuseum.org/exhibitions/colorful-korea,"Visitors will discover the rich symbolism and vibrant aesthetics of Korean art across 1,500 years, gaining insight into cultural traditions and spiritual meanings.",A sweeping survey of Korean art's auspicious symbols from ancient to contemporary works.,"Asian art surveys, thematic cultural exhibitions, historical collections",long_duration;large_scope;historical_range,
Afterlives: Contemporary Art in the Byzantine Crypt - The Metropolitan Museum of Art,"Through January 10, 2027",Gallery 302,This exhibit brings together modern-day works that reckon with death and visualize the afterlife with Byzantine Egyptian funerary art and artifacts.,https://www.metmuseum.org/exhibitions/afterlives-contemporary-art-in-the-byzantine-crypt,"Visitors will explore how contemporary artists engage with themes of death and the afterlife, drawing parallels with Byzantine Egyptian funerary traditions, offering a reflective and cross-temporal perspective.",Modern art meets ancient Byzantine crypt artifacts exploring death and afterlife themes.,"Contemporary art juxtaposed with historical artifacts, thematic exhibitions on mortality and spirituality.",long_run;thematic_focus;historical_context,
The Jousting Armor of Philip I of Castile - The Metropolitan Museum of Art,"Through April 1, 2026",The Met Fifth Avenue,"This special installation showcases a jousting armor of Philip I of Castile (1478–1506), on loan from the Imperial Armoury, Kunsthistorisches Museum Vienna.",https://www.metmuseum.org/exhibitions/the-jousting-armor-of-philip-i-of-castile,"Visitors will gain insight into the craftsmanship and historical significance of 15th-century jousting armor, specifically that of Philip I of Castile, highlighting royal martial traditions.","Rare armor of Philip I on display, a historic loan from Vienna's Imperial Armoury.","European arms and armor, royal historical artifacts, medieval and Renaissance exhibitions",long_term_exhibition;international_loan;single_artifact_focus,
Ganesha: Lord of New Beginnings - The Metropolitan Museum of Art,"November 19, 2022–June 11, 2023",The Met Fifth Avenue,"Ganesha, Hindu god of new beginnings and remover of obstacles, is shown in 24 works spanning centuries across India, Himalayas, and Southeast Asia.",https://www.metmuseum.org/exhibitions/ganesha,Visitors will gain insight into the cultural and spiritual significance of Ganesha through a diverse collection of artworks spanning different regions and time periods.,Met showcases Ganesha's divine role in 24 historic artworks from India to Southeast Asia.,"Hindu deity exhibitions, Asian art surveys, thematic religious iconography",well-defined scope;clear cultural focus;moderate exhibition size,
A Passion for Jade: The Bishop Collection - The Metropolitan Museum of Art,"Through January 4, 2026",The Met Fifth Avenue,"Over 100 jade and hardstone carvings from the Heber Bishop collection showcase Qing and Mughal artistry, tools, and jade-carving techniques in this exhibit.",https://www.metmuseum.org/exhibitions/passion-for-jade,"Visitors will gain insight into Qing and Mughal jade artistry, learn about carving techniques, and appreciate the historical significance of the Bishop collection.","Over 100 jade carvings from Qing and Mughal eras, showcasing artistry and techniques.","Decorative arts, Asian art, historical collections, material culture",long_duration;specific_collection;technique_focus,
"Embracing Color: Enamel in Chinese Decorative Arts, 1300–1900 - The Metropolitan Museum of Art","July 4, 2022-April 30, 2023",The Met Fifth Avenue,"This exhibit showcases the aesthetic, technical, and cultural achievements of Chinese enamel wares during the transformative Ming and Qing dynasties.",https://www.metmuseum.org/exhibitions/embracing-color,"Visitors will gain an appreciation for the technical skill and cultural significance of Chinese enamel art, understanding its evolution and role in decorative arts from the 14th to 19th centuries.",A vibrant journey through six centuries of Chinese enamel artistry at The Met.,"Asian decorative arts, historical craft techniques, Ming and Qing dynasty exhibitions",historical_period_focus;craft_technique_highlighted;cultural_heritage_theme,
Arts of Oceania - The Metropolitan Museum of Art,,The Met Fifth Avenue,"Features monumental art from New Guinea, Pacific islands, Australia, and Island Southeast Asia—regions united by shared Indigenous ancestry.",https://www.metmuseum.org/exhibitions/arts-of-oceania,"Visitors will gain insight into the monumental art and cultural heritage of Oceania, exploring shared Indigenous ancestry across New Guinea, Pacific islands, Australia, and Island Southeast Asia.",Monumental Oceanic art showcasing Indigenous ancestry and cultural unity.,"Indigenous art, Pacific cultures, ethnographic exhibitions",missing_dates,missing:dates
Arts of the Ancient Americas - The Metropolitan Museum of Art,,The Met Fifth Avenue,"Following a multiyear renovation, the new installation reintroduces visitors to the Museum’s collection of ancestral arts of the Americas, representing the artistic legacy of Indigenous artists from across North, Central, and South America and the Caribbean prior to 1600 CE.",https://www.metmuseum.org/exhibitions/arts-of-the-ancient-americas,"Visitors will gain insight into the artistic achievements of Indigenous cultures across the Americas before 1600 CE, presented in a newly renovated gallery space.",Renovated ancient Americas gallery showcases pre-1600 Indigenous art.,"Ancient and Indigenous art exhibitions, museum gallery reopenings",no_dates_provided;permanent_or_long_term,missing:dates
Arts of Africa - The Metropolitan Museum of Art,,The Met Fifth Avenue,"Following renovation, 500 sub-Saharan African works highlight major movements—one-fourth on view for the first time—spanning the Middle Ages to today.",https://www.metmuseum.org/exhibitions/arts-of-africa,"Visitors will discover the breadth and depth of sub-Saharan African art across centuries, with many works newly displayed after gallery renovations.","Renovated galleries showcase 500 African works, a quarter newly displayed, spanning medieval to contemporary art.","African art, historical collections, museum renovations, thematic surveys",missing_dates,missing:dates
Defensive Display: Shields from The Met Collection - The Metropolitan Museum of Art,,The Met Fifth Avenue,"This exhibit explores shields as defense and visual display, examining their style, construction, and how shape reflects regional and cultural origins.",https://www.metmuseum.org/exhibitions/defensive-display-shields-from-the-met-collection,"Visitors will learn about the dual role of shields as protective gear and artistic objects, understanding their cultural significance and craftsmanship across different societies.","Met showcases shields as art and defense, highlighting cultural origins and craftsmanship.","Arms and armor, cultural artifacts, decorative arts",missing_dates,missing:dates
The American Wing at 100 - The Metropolitan Museum of Art,,The Met Fifth Avenue,"Newly interpreted galleries span three floors, linking the Wing’s holdings from the 17th to 20th century and highlighting relevant, meaningful stories.",https://www.metmuseum.org/exhibitions/the-american-wing-at-100,"Visitors will explore a century of American art and history through newly interpreted galleries that connect diverse works from the 17th to 20th centuries, emphasizing meaningful narratives and cultural relevance.",Met's American Wing centennial showcases three floors of reinterpreted art spanning 300 years.,"American art history, museum anniversaries, gallery reinterpretations",no_dates_provided;permanent_collection_highlight,missing:dates
The Calculated Curve: Eighteenth-Century American Furniture - The Metropolitan Museum of Art,,The Met Fifth Avenue,"The 2024 reinstallation of The Met’s Wang Galleries highlights American furniture (1720–1770), showcasing key collections and its design, materials, and form.",https://www.metmuseum.org/exhibitions/the-calculated-curve-eighteenth-century-american-furniture,"Visitors will gain insight into the design, materials, and craftsmanship of 18th-century American furniture, appreciating its historical and artistic significance through key pieces from the Met's collection.","Reinstalled galleries spotlight 1720-1770 American furniture, emphasizing design and materials.","Historical decorative arts, American craftsmanship, museum collection reinstallations",dates_missing,missing:dates
Cycladic Art - The Metropolitan Museum of Art,,The Met Fifth Avenue,The presentation offers an extraordinary opportunity to closely examine a large body of little known Cycladic works that have been repatriated to Greece.,https://www.metmuseum.org/exhibitions/cycladic-art,"Visitors will gain insight into a significant collection of repatriated Cycladic artifacts, understanding their cultural importance and artistic value.",Rare display of repatriated Cycladic art at The Met.,Ancient Mediterranean and repatriated antiquities exhibitions.,missing_dates,missing:dates
